filepath,attack,epsilon,class_idx,class_name,image_idx
stimuli/cw/epsauto/airplane/airplane_00074.png,cw,auto,0,airplane,74
stimuli/cw/epsauto/airplane/airplane_00255.png,cw,auto,0,airplane,255
stimuli/cw/epsauto/airplane/airplane_00258.png,cw,auto,0,airplane,258
stimuli/cw/epsauto/airplane/airplane_00276.png,cw,auto,0,airplane,276
stimuli/cw/epsauto/airplane/airplane_00284.png,cw,auto,0,airplane,284
stimuli/cw/epsauto/airplane/airplane_00885.png,cw,auto,0,airplane,885
stimuli/cw/epsauto/airplane/airplane_00919.png,cw,auto,0,airplane,919
stimuli/cw/epsauto/airplane/airplane_00928.png,cw,auto,0,airplane,928
stimuli/cw/epsauto/airplane/airplane_01010.png,cw,auto,0,airplane,1010
stimuli/cw/epsauto/airplane/airplane_01076.png,cw,auto,0,airplane,1076
stimuli/cw/epsauto/airplane/airplane_01409.png,cw,auto,0,airplane,1409
stimuli/cw/epsauto/airplane/airplane_01652.png,cw,auto,0,airplane,1652
stimuli/cw/epsauto/airplane/airplane_01705.png,cw,auto,0,airplane,1705
stimuli/cw/epsauto/airplane/airplane_02091.png,cw,auto,0,airplane,2091
stimuli/cw/epsauto/airplane/airplane_02232.png,cw,auto,0,airplane,2232
stimuli/cw/epsauto/airplane/airplane_02249.png,cw,auto,0,airplane,2249
stimuli/cw/epsauto/airplane/airplane_02264.png,cw,auto,0,airplane,2264
stimuli/cw/epsauto/airplane/airplane_02302.png,cw,auto,0,airplane,2302
stimuli/cw/epsauto/airplane/airplane_02379.png,cw,auto,0,airplane,2379
stimuli/cw/epsauto/airplane/airplane_02507.png,cw,auto,0,airplane,2507
stimuli/cw/epsauto/airplane/airplane_02821.png,cw,auto,0,airplane,2821
stimuli/cw/epsauto/airplane/airplane_02877.png,cw,auto,0,airplane,2877
stimuli/cw/epsauto/airplane/airplane_03467.png,cw,auto,0,airplane,3467
stimuli/cw/epsauto/airplane/airplane_03493.png,cw,auto,0,airplane,3493
stimuli/cw/epsauto/airplane/airplane_04004.png,cw,auto,0,airplane,4004
stimuli/cw/epsauto/airplane/airplane_04355.png,cw,auto,0,airplane,4355
stimuli/cw/epsauto/airplane/airplane_04373.png,cw,auto,0,airplane,4373
stimuli/cw/epsauto/airplane/airplane_04667.png,cw,auto,0,airplane,4667
stimuli/cw/epsauto/airplane/airplane_05256.png,cw,auto,0,airplane,5256
stimuli/cw/epsauto/airplane/airplane_05652.png,cw,auto,0,airplane,5652
stimuli/cw/epsauto/airplane/airplane_05809.png,cw,auto,0,airplane,5809
stimuli/cw/epsauto/airplane/airplane_06105.png,cw,auto,0,airplane,6105
stimuli/cw/epsauto/airplane/airplane_06118.png,cw,auto,0,airplane,6118
stimuli/cw/epsauto/airplane/airplane_06247.png,cw,auto,0,airplane,6247
stimuli/cw/epsauto/airplane/airplane_06583.png,cw,auto,0,airplane,6583
stimuli/cw/epsauto/airplane/airplane_06648.png,cw,auto,0,airplane,6648
stimuli/cw/epsauto/airplane/airplane_06877.png,cw,auto,0,airplane,6877
stimuli/cw/epsauto/airplane/airplane_07115.png,cw,auto,0,airplane,7115
stimuli/cw/epsauto/airplane/airplane_07139.png,cw,auto,0,airplane,7139
stimuli/cw/epsauto/airplane/airplane_07289.png,cw,auto,0,airplane,7289
stimuli/cw/epsauto/airplane/airplane_07544.png,cw,auto,0,airplane,7544
stimuli/cw/epsauto/airplane/airplane_07609.png,cw,auto,0,airplane,7609
stimuli/cw/epsauto/airplane/airplane_07616.png,cw,auto,0,airplane,7616
stimuli/cw/epsauto/airplane/airplane_07754.png,cw,auto,0,airplane,7754
stimuli/cw/epsauto/airplane/airplane_07803.png,cw,auto,0,airplane,7803
stimuli/cw/epsauto/airplane/airplane_08210.png,cw,auto,0,airplane,8210
stimuli/cw/epsauto/airplane/airplane_08265.png,cw,auto,0,airplane,8265
stimuli/cw/epsauto/airplane/airplane_08977.png,cw,auto,0,airplane,8977
stimuli/cw/epsauto/airplane/airplane_09182.png,cw,auto,0,airplane,9182
stimuli/cw/epsauto/airplane/airplane_09857.png,cw,auto,0,airplane,9857
stimuli/cw/epsauto/automobile/automobile_00572.png,cw,auto,1,automobile,572
stimuli/cw/epsauto/automobile/automobile_00604.png,cw,auto,1,automobile,604
stimuli/cw/epsauto/automobile/automobile_00869.png,cw,auto,1,automobile,869
stimuli/cw/epsauto/automobile/automobile_00953.png,cw,auto,1,automobile,953
stimuli/cw/epsauto/automobile/automobile_00961.png,cw,auto,1,automobile,961
stimuli/cw/epsauto/automobile/automobile_01098.png,cw,auto,1,automobile,1098
stimuli/cw/epsauto/automobile/automobile_01141.png,cw,auto,1,automobile,1141
stimuli/cw/epsauto/automobile/automobile_01332.png,cw,auto,1,automobile,1332
stimuli/cw/epsauto/automobile/automobile_01631.png,cw,auto,1,automobile,1631
stimuli/cw/epsauto/automobile/automobile_01970.png,cw,auto,1,automobile,1970
stimuli/cw/epsauto/automobile/automobile_02179.png,cw,auto,1,automobile,2179
stimuli/cw/epsauto/automobile/automobile_02390.png,cw,auto,1,automobile,2390
stimuli/cw/epsauto/automobile/automobile_02450.png,cw,auto,1,automobile,2450
stimuli/cw/epsauto/automobile/automobile_02819.png,cw,auto,1,automobile,2819
stimuli/cw/epsauto/automobile/automobile_02859.png,cw,auto,1,automobile,2859
stimuli/cw/epsauto/automobile/automobile_02950.png,cw,auto,1,automobile,2950
stimuli/cw/epsauto/automobile/automobile_03064.png,cw,auto,1,automobile,3064
stimuli/cw/epsauto/automobile/automobile_03080.png,cw,auto,1,automobile,3080
stimuli/cw/epsauto/automobile/automobile_03632.png,cw,auto,1,automobile,3632
stimuli/cw/epsauto/automobile/automobile_03723.png,cw,auto,1,automobile,3723
stimuli/cw/epsauto/automobile/automobile_03764.png,cw,auto,1,automobile,3764
stimuli/cw/epsauto/automobile/automobile_03794.png,cw,auto,1,automobile,3794
stimuli/cw/epsauto/automobile/automobile_03828.png,cw,auto,1,automobile,3828
stimuli/cw/epsauto/automobile/automobile_03895.png,cw,auto,1,automobile,3895
stimuli/cw/epsauto/automobile/automobile_03951.png,cw,auto,1,automobile,3951
stimuli/cw/epsauto/automobile/automobile_03976.png,cw,auto,1,automobile,3976
stimuli/cw/epsauto/automobile/automobile_04689.png,cw,auto,1,automobile,4689
stimuli/cw/epsauto/automobile/automobile_04755.png,cw,auto,1,automobile,4755
stimuli/cw/epsauto/automobile/automobile_05409.png,cw,auto,1,automobile,5409
stimuli/cw/epsauto/automobile/automobile_05604.png,cw,auto,1,automobile,5604
stimuli/cw/epsauto/automobile/automobile_05970.png,cw,auto,1,automobile,5970
stimuli/cw/epsauto/automobile/automobile_06279.png,cw,auto,1,automobile,6279
stimuli/cw/epsauto/automobile/automobile_06445.png,cw,auto,1,automobile,6445
stimuli/cw/epsauto/automobile/automobile_06555.png,cw,auto,1,automobile,6555
stimuli/cw/epsauto/automobile/automobile_06638.png,cw,auto,1,automobile,6638
stimuli/cw/epsauto/automobile/automobile_06843.png,cw,auto,1,automobile,6843
stimuli/cw/epsauto/automobile/automobile_06984.png,cw,auto,1,automobile,6984
stimuli/cw/epsauto/automobile/automobile_07282.png,cw,auto,1,automobile,7282
stimuli/cw/epsauto/automobile/automobile_07555.png,cw,auto,1,automobile,7555
stimuli/cw/epsauto/automobile/automobile_07948.png,cw,auto,1,automobile,7948
stimuli/cw/epsauto/automobile/automobile_08261.png,cw,auto,1,automobile,8261
stimuli/cw/epsauto/automobile/automobile_08489.png,cw,auto,1,automobile,8489
stimuli/cw/epsauto/automobile/automobile_08503.png,cw,auto,1,automobile,8503
stimuli/cw/epsauto/automobile/automobile_08593.png,cw,auto,1,automobile,8593
stimuli/cw/epsauto/automobile/automobile_08640.png,cw,auto,1,automobile,8640
stimuli/cw/epsauto/automobile/automobile_08712.png,cw,auto,1,automobile,8712
stimuli/cw/epsauto/automobile/automobile_08772.png,cw,auto,1,automobile,8772
stimuli/cw/epsauto/automobile/automobile_09042.png,cw,auto,1,automobile,9042
stimuli/cw/epsauto/automobile/automobile_09487.png,cw,auto,1,automobile,9487
stimuli/cw/epsauto/automobile/automobile_09935.png,cw,auto,1,automobile,9935
stimuli/cw/epsauto/bird/bird_00353.png,cw,auto,2,bird,353
stimuli/cw/epsauto/bird/bird_00592.png,cw,auto,2,bird,592
stimuli/cw/epsauto/bird/bird_00701.png,cw,auto,2,bird,701
stimuli/cw/epsauto/bird/bird_00751.png,cw,auto,2,bird,751
stimuli/cw/epsauto/bird/bird_01501.png,cw,auto,2,bird,1501
stimuli/cw/epsauto/bird/bird_01746.png,cw,auto,2,bird,1746
stimuli/cw/epsauto/bird/bird_01802.png,cw,auto,2,bird,1802
stimuli/cw/epsauto/bird/bird_02165.png,cw,auto,2,bird,2165
stimuli/cw/epsauto/bird/bird_02170.png,cw,auto,2,bird,2170
stimuli/cw/epsauto/bird/bird_02216.png,cw,auto,2,bird,2216
stimuli/cw/epsauto/bird/bird_02312.png,cw,auto,2,bird,2312
stimuli/cw/epsauto/bird/bird_02443.png,cw,auto,2,bird,2443
stimuli/cw/epsauto/bird/bird_02625.png,cw,auto,2,bird,2625
stimuli/cw/epsauto/bird/bird_02630.png,cw,auto,2,bird,2630
stimuli/cw/epsauto/bird/bird_03068.png,cw,auto,2,bird,3068
stimuli/cw/epsauto/bird/bird_03076.png,cw,auto,2,bird,3076
stimuli/cw/epsauto/bird/bird_03174.png,cw,auto,2,bird,3174
stimuli/cw/epsauto/bird/bird_03694.png,cw,auto,2,bird,3694
stimuli/cw/epsauto/bird/bird_03815.png,cw,auto,2,bird,3815
stimuli/cw/epsauto/bird/bird_03863.png,cw,auto,2,bird,3863
stimuli/cw/epsauto/bird/bird_04452.png,cw,auto,2,bird,4452
stimuli/cw/epsauto/bird/bird_04522.png,cw,auto,2,bird,4522
stimuli/cw/epsauto/bird/bird_04995.png,cw,auto,2,bird,4995
stimuli/cw/epsauto/bird/bird_05405.png,cw,auto,2,bird,5405
stimuli/cw/epsauto/bird/bird_05708.png,cw,auto,2,bird,5708
stimuli/cw/epsauto/bird/bird_05771.png,cw,auto,2,bird,5771
stimuli/cw/epsauto/bird/bird_06240.png,cw,auto,2,bird,6240
stimuli/cw/epsauto/bird/bird_06515.png,cw,auto,2,bird,6515
stimuli/cw/epsauto/bird/bird_06546.png,cw,auto,2,bird,6546
stimuli/cw/epsauto/bird/bird_06589.png,cw,auto,2,bird,6589
stimuli/cw/epsauto/bird/bird_06626.png,cw,auto,2,bird,6626
stimuli/cw/epsauto/bird/bird_06703.png,cw,auto,2,bird,6703
stimuli/cw/epsauto/bird/bird_06969.png,cw,auto,2,bird,6969
stimuli/cw/epsauto/bird/bird_07000.png,cw,auto,2,bird,7000
stimuli/cw/epsauto/bird/bird_07023.png,cw,auto,2,bird,7023
stimuli/cw/epsauto/bird/bird_07112.png,cw,auto,2,bird,7112
stimuli/cw/epsauto/bird/bird_07321.png,cw,auto,2,bird,7321
stimuli/cw/epsauto/bird/bird_07457.png,cw,auto,2,bird,7457
stimuli/cw/epsauto/bird/bird_07802.png,cw,auto,2,bird,7802
stimuli/cw/epsauto/bird/bird_07849.png,cw,auto,2,bird,7849
stimuli/cw/epsauto/bird/bird_08129.png,cw,auto,2,bird,8129
